sentence_id,FFD_avg,FFD_sum,GD_avg,GD_sum,GPT_avg,GPT_sum,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg
277,106.5,1810.5,114.33,1943.57,166.76,2834.88,143.87,2445.83,1.33,22.58,8.0
278,108.95,2288.03,122.48,2572.04,181.78,3817.46,149.64,3142.38,1.36,28.62,10.0
279,108.47,1627.01,116.21,1743.09,167.58,2513.71,138.2,2072.96,1.24,18.63,7.0
280,128.01,1152.08,146.32,1316.89,197.55,1777.96,171.56,1544.08,1.29,11.62,4.0
281,120.28,1323.1,135.46,1490.1,197.11,2168.26,170.58,1876.37,1.36,14.93,5.0
282,116.69,1866.99,133.44,2135.09,222.36,3557.74,183.26,2932.2,1.55,24.79,7.5
283,119.58,5381.14,136.3,6133.71,198.2,8919.03,154.85,6968.09,1.29,58.25,22.0
284,120.05,1560.6,133.29,1732.73,217.27,2824.45,177.78,2311.13,1.48,19.25,6.0
285,140.38,982.66,179.39,1255.75,223.04,1561.26,205.12,1435.84,1.39,9.7,3.0
286,111.26,4561.83,127.02,5207.95,194.24,7963.84,166.28,6817.66,1.53,62.64,20.0
287,111.04,1776.66,120.04,1920.61,198.01,3168.12,142.85,2285.59,1.26,20.17,7.5
288,113.07,3278.93,130.43,3782.45,202.26,5865.5,157.94,4580.13,1.41,40.87,14.0
289,113.48,1929.23,126.76,2154.95,162.88,2768.9,152.97,2600.46,1.34,22.84,8.0
290,110.59,1658.82,131.21,1968.19,154.94,2324.08,143.1,2146.46,1.27,19.09,7.0
291,115.78,1736.77,122.56,1838.37,178.47,2677.06,146.68,2200.2,1.27,19.09,7.0
292,115.98,1971.69,123.21,2094.63,179.85,3057.49,147.32,2504.43,1.23,20.88,8.0
293,110.22,1212.37,118.31,1301.41,143.47,1578.17,123.13,1354.41,1.11,12.24,5.0
294,112.21,2132.08,124.23,2360.42,160.29,3045.47,142.76,2712.51,1.25,23.75,9.0
295,105.07,1576.01,107.93,1618.94,146.87,2203.0,119.74,1796.14,1.15,17.23,7.0
296,107.85,1833.37,113.2,1924.35,154.17,2620.87,126.34,2147.85,1.17,19.84,8.0
297,124.65,1371.16,141.07,1551.8,225.91,2484.96,181.48,1996.24,1.46,16.1,5.0
298,126.29,1010.31,147.38,1179.02,210.4,1683.16,185.8,1486.39,1.38,11.0,3.5
299,104.21,1250.51,116.4,1396.83,135.29,1623.47,123.87,1486.48,1.17,14.08,5.5
300,102.67,3798.85,114.74,4245.35,222.81,8243.95,139.8,5172.56,1.34,49.54,18.0
301,109.9,1868.23,119.56,2032.53,173.68,2952.56,144.26,2452.37,1.28,21.81,8.65
302,110.44,1656.55,122.53,1837.98,170.65,2559.74,148.65,2229.73,1.33,19.9,7.0
303,109.89,1868.11,124.28,2112.7,184.02,3128.37,145.48,2473.22,1.25,21.26,8.0
304,103.82,2283.98,111.8,2459.52,148.98,3277.56,129.73,2854.15,1.21,26.67,11.5
305,116.47,1397.67,132.32,1587.89,211.03,2532.31,181.32,2175.82,1.5,17.99,5.5
306,110.95,2773.68,125.47,3136.72,190.97,4774.35,165.71,4142.65,1.47,36.68,12.76
307,102.71,2362.3,107.74,2478.01,205.73,4731.7,140.29,3226.59,1.3,29.87,11.74
308,116.06,1508.8,126.02,1638.25,166.99,2170.82,143.09,1860.13,1.22,15.83,6.0
309,108.14,5623.51,114.37,5947.17,206.9,10758.91,153.05,7958.76,1.41,73.45,25.5
310,109.6,3178.32,117.98,3421.53,147.32,4272.32,131.97,3827.18,1.19,34.65,14.0
311,126.85,1395.33,145.16,1596.79,192.55,2118.07,168.18,1849.97,1.35,14.89,5.0
312,116.74,2801.75,135.97,3263.37,199.67,4792.1,178.44,4282.5,1.52,36.5,11.5
313,123.71,1237.07,133.94,1339.45,186.33,1863.29,163.71,1637.12,1.34,13.44,4.5
314,106.72,2347.73,123.09,2708.06,161.61,3555.33,138.11,3038.43,1.28,28.27,10.5
315,107.74,3340.03,119.08,3691.53,173.14,5367.46,138.6,4296.7,1.29,39.93,15.0
316,104.63,3871.22,114.19,4224.97,155.64,5758.61,127.15,4704.41,1.21,44.82,18.0
317,110.47,3645.39,121.49,4009.33,168.91,5573.93,150.52,4967.13,1.35,44.71,16.0
318,112.55,2701.31,122.65,2943.58,202.32,4855.79,158.53,3804.63,1.37,32.98,11.5
319,107.39,2147.82,115.25,2305.09,148.82,2976.44,135.06,2701.25,1.23,24.5,9.5
320,117.43,1291.74,123.78,1361.54,165.09,1815.98,133.52,1468.76,1.14,12.58,5.0
321,114.35,2515.62,125.48,2760.52,159.96,3519.05,145.56,3202.23,1.28,28.16,10.77
322,106.15,3078.43,116.29,3372.42,165.96,4812.86,143.88,4172.52,1.32,38.16,14.0
323,146.12,730.62,159.63,798.17,197.59,987.95,187.73,938.64,1.25,6.23,3.0
324,116.11,1741.63,131.91,1978.71,192.88,2893.13,158.87,2383.1,1.37,20.5,7.0
325,117.06,936.51,131.22,1049.78,224.17,1793.32,195.81,1566.49,1.6,12.84,3.5
326,113.15,1810.45,135.88,2174.01,228.94,3662.98,179.84,2877.38,1.52,24.34,8.12
327,113.51,2724.35,123.53,2964.81,156.02,3744.58,139.29,3343.06,1.25,29.93,12.5
328,103.9,3116.85,112.41,3372.41,139.48,4184.48,128.52,3855.64,1.21,36.38,14.5
329,116.02,2088.43,130.3,2345.44,176.98,3185.73,158.1,2845.79,1.33,23.93,8.5
330,107.42,3330.01,112.65,3492.01,184.81,5729.19,145.15,4499.5,1.31,40.53,15.0
331,108.56,2931.15,119.99,3239.71,163.48,4413.91,135.42,3656.22,1.24,33.48,13.0
332,108.34,1516.82,128.09,1793.22,161.0,2253.98,149.8,2097.2,1.35,18.94,6.5
333,108.31,1949.63,120.2,2163.62,176.01,3168.16,164.68,2964.23,1.5,26.98,8.5
334,109.56,2191.2,121.64,2432.81,221.96,4439.18,155.89,3117.87,1.4,28.1,9.5
335,112.22,2468.77,122.48,2694.48,158.9,3495.78,144.53,3179.65,1.27,27.92,10.5
336,116.51,2912.73,130.17,3254.35,167.78,4194.62,152.38,3809.52,1.31,32.69,12.0
337,115.13,1727.02,138.4,2076.01,215.06,3225.88,181.78,2726.74,1.56,23.45,7.0
338,107.26,1930.64,117.93,2122.74,162.34,2922.11,157.83,2840.95,1.43,25.67,8.5
339,117.33,2111.98,131.41,2365.35,190.55,3429.87,172.08,3097.53,1.42,25.48,8.5
340,105.57,4222.75,117.0,4680.05,150.85,6034.08,138.6,5543.88,1.32,52.86,19.5
341,106.92,2138.48,116.34,2326.77,160.48,3209.57,139.51,2790.14,1.24,24.82,9.5
342,119.29,2027.94,131.26,2231.35,180.55,3069.37,166.1,2823.76,1.43,24.28,8.0
343,112.24,2581.54,121.28,2789.45,192.35,4424.08,150.54,3462.46,1.3,29.86,11.0
344,109.56,1314.78,115.42,1385.05,155.66,1867.91,133.77,1605.26,1.2,14.42,5.5
345,106.44,2874.0,112.52,3037.94,138.67,3744.04,129.94,3508.45,1.23,33.27,13.0
346,113.29,1925.85,126.66,2153.25,161.3,2742.06,142.42,2421.08,1.26,21.45,8.0
347,106.57,1918.33,115.97,2087.48,149.5,2691.05,137.84,2481.09,1.28,22.96,8.5
348,110.14,1762.16,121.52,1944.36,166.89,2670.3,147.69,2363.05,1.33,21.24,7.5
