sentence_id,FFD_avg,GD_avg,GPT_avg,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg,subject
102,102.92,102.92,262.04,185.24,4631.0,1.92,48.0,17.04,YDR
103,85.2,85.2,148.9,138.1,1381.0,1.5,15.0,6.9,YDR
104,107.42,116.17,254.83,196.42,2357.0,1.83,22.0,8.92,YDR
105,92.25,102.75,324.67,238.58,2863.0,1.67,20.0,5.5,YDR
106,149.12,149.12,149.12,149.12,1193.0,1.0,8.0,8.25,YDR
107,155.0,155.0,356.64,155.0,1705.0,1.0,11.0,6.64,YDR
108,94.2,94.2,251.6,207.0,1035.0,1.8,9.0,3.0,YDR
109,102.08,102.08,179.42,142.42,1709.0,1.25,15.0,6.25,YDR
110,114.2,120.0,218.1,175.9,1759.0,1.4,14.0,5.6,YDR
111,104.43,133.14,219.57,171.0,1197.0,1.43,10.0,5.57,YDR
112,103.5,117.5,274.17,215.33,1292.0,1.83,11.0,6.0,YDR
113,116.67,116.67,229.33,206.5,1239.0,1.83,11.0,4.67,YDR
114,110.48,117.6,163.04,145.0,3625.0,1.28,32.0,16.88,YDR
115,124.73,133.27,194.64,133.27,1466.0,1.09,12.0,6.45,YDR
116,104.23,104.23,246.54,231.92,3015.0,1.92,25.0,13.54,YDR
117,111.82,121.82,344.59,259.06,4404.0,2.29,39.0,15.59,YDR
118,97.0,97.0,299.0,226.0,678.0,2.33,7.0,2.33,YDR
119,117.7,117.7,141.2,124.0,1240.0,1.1,11.0,8.8,YDR
120,103.2,103.2,169.9,128.9,1289.0,1.3,13.0,5.7,YDR
121,93.77,113.69,252.77,158.0,2054.0,1.54,20.0,8.46,YDR
122,108.67,108.67,153.5,108.67,652.0,1.0,6.0,4.5,YDR
123,113.0,113.0,175.43,155.14,1086.0,1.43,10.0,5.0,YDR
124,99.91,99.91,135.0,135.0,1485.0,1.18,13.0,11.18,YDR
125,100.9,100.9,162.6,119.0,1190.0,1.2,12.0,9.6,YDR
126,120.29,120.29,129.43,120.29,842.0,1.0,7.0,6.29,YDR
127,90.2,104.2,161.0,161.0,805.0,1.6,8.0,5.2,YDR
128,96.79,96.79,110.71,110.71,1550.0,1.07,15.0,15.43,YDR
129,94.38,94.38,219.15,168.77,2194.0,1.77,23.0,10.69,YDR
130,95.2,95.2,175.1,159.3,1593.0,1.3,13.0,9.3,YDR
131,90.0,90.0,195.0,158.83,953.0,1.67,10.0,4.33,YDR
132,105.18,105.18,214.45,177.27,1950.0,1.73,19.0,6.82,YDR
133,100.64,100.64,274.5,160.5,2247.0,1.57,22.0,10.0,YDR
134,105.94,112.31,211.31,127.0,2032.0,1.19,19.0,14.88,YDR
135,104.64,104.64,358.36,253.82,2792.0,2.18,24.0,6.36,YDR
136,97.6,97.6,127.3,117.3,1173.0,1.1,11.0,8.3,YDR
137,119.4,119.4,168.8,134.4,672.0,1.2,6.0,3.8,YDR
138,121.86,132.29,285.93,242.21,3391.0,2.0,28.0,9.57,YDR
139,94.5,108.17,141.67,141.67,850.0,1.33,8.0,5.67,YDR
140,95.14,113.43,121.71,113.43,794.0,1.29,9.0,6.57,YDR
141,120.07,132.36,189.21,165.64,2319.0,1.5,21.0,11.29,YDR
142,120.54,120.54,158.62,135.23,1758.0,1.15,15.0,10.0,YDR
143,95.43,95.43,131.07,107.0,1498.0,1.07,15.0,13.14,YDR
144,116.29,116.29,203.0,168.0,1176.0,1.57,11.0,6.0,YDR
145,120.38,120.38,269.88,236.62,1893.0,1.88,15.0,5.25,YDR
146,108.58,108.58,201.92,144.92,1739.0,1.25,15.0,13.17,YDR
147,84.18,84.18,106.73,100.27,1103.0,1.09,12.0,10.09,YDR
148,91.83,91.83,91.83,91.83,551.0,1.0,6.0,10.0,YDR
149,89.92,97.67,197.67,145.67,1748.0,1.5,18.0,12.25,YDR
150,94.33,113.0,314.0,272.0,816.0,2.67,8.0,1.33,YDR
151,85.9,89.9,237.6,167.05,3341.0,1.75,35.0,12.7,YDR
152,104.8,104.8,165.2,140.4,702.0,1.2,6.0,6.4,YDR
153,105.67,109.62,273.24,176.76,3712.0,1.67,35.0,14.62,YDR
154,153.0,153.0,325.5,263.5,527.0,1.5,3.0,3.5,YDR
155,93.89,100.78,379.44,198.11,1783.0,2.0,18.0,5.89,YDR
156,90.43,101.71,133.43,101.71,712.0,1.14,8.0,4.71,YDR
157,106.25,106.25,157.08,110.75,1329.0,1.08,13.0,9.08,YDR
158,101.88,101.88,238.88,162.25,1298.0,1.62,13.0,4.5,YDR
159,105.21,105.21,162.29,122.57,1716.0,1.14,16.0,13.21,YDR
160,92.57,92.57,107.14,92.57,648.0,1.0,7.0,8.57,YDR
161,99.0,99.0,137.0,122.25,978.0,1.25,10.0,9.38,YDR
162,109.43,109.43,124.71,124.71,873.0,1.14,8.0,9.14,YDR
163,162.0,201.75,201.75,201.75,807.0,1.5,6.0,2.75,YDR
164,96.4,96.4,146.0,114.9,1149.0,1.2,12.0,4.8,YDR
165,100.38,103.23,231.96,177.5,4615.0,1.73,45.0,19.19,YDR
166,81.5,81.5,198.17,132.33,794.0,1.33,8.0,6.67,YDR
167,106.6,114.1,114.1,114.1,1141.0,1.1,11.0,15.4,YDR
168,106.81,116.69,138.69,123.44,1975.0,1.12,18.0,14.5,YDR
169,99.45,102.8,225.7,160.2,3204.0,1.55,31.0,15.55,YDR
170,90.71,96.93,140.14,119.36,1671.0,1.29,18.0,10.07,YDR
171,85.09,85.09,99.64,85.09,936.0,1.0,11.0,11.27,YDR
172,109.69,109.69,148.81,126.25,2020.0,1.19,19.0,13.81,YDR
173,87.21,87.21,108.79,92.14,1290.0,1.07,15.0,11.07,YDR
174,91.0,91.0,111.27,106.0,1166.0,1.09,12.0,12.64,YDR
175,104.44,110.28,323.56,180.22,3244.0,1.67,30.0,16.33,YDR
176,138.33,138.33,197.67,138.33,415.0,1.0,3.0,2.67,YDR
177,140.33,180.33,180.33,180.33,541.0,1.33,4.0,2.0,YDR
178,111.5,111.5,125.2,111.5,1115.0,1.0,10.0,11.9,YDR
179,136.33,136.33,292.67,136.33,818.0,1.0,6.0,4.5,YDR
180,116.33,116.33,191.89,149.78,1348.0,1.22,11.0,8.56,YDR
181,126.07,130.27,285.6,162.47,2437.0,1.47,22.0,8.67,YDR
182,94.53,94.53,292.8,268.53,4028.0,2.67,40.0,9.33,YDR
183,108.0,113.38,388.31,252.46,3282.0,2.08,27.0,9.23,YDR
184,84.7,84.7,213.5,127.8,1278.0,1.4,14.0,5.7,YDR
185,118.33,134.17,182.33,182.33,1094.0,1.5,9.0,7.17,YDR
186,97.16,105.04,162.28,131.4,3285.0,1.36,34.0,18.56,YDR
187,87.0,87.0,129.6,116.4,582.0,1.4,7.0,4.8,YDR
188,99.4,99.4,99.4,99.4,497.0,1.0,5.0,5.0,YDR
189,103.12,111.62,132.75,111.62,893.0,1.12,9.0,8.5,YDR
190,98.56,106.44,106.44,106.44,958.0,1.11,10.0,9.89,YDR
191,81.0,81.0,120.71,112.0,784.0,1.14,8.0,8.14,YDR
192,81.0,92.11,167.11,110.0,990.0,1.22,11.0,12.33,YDR
193,89.0,89.0,136.8,136.8,684.0,1.2,6.0,5.2,YDR
194,97.2,103.2,182.1,145.7,1457.0,1.3,13.0,6.4,YDR
195,99.79,99.79,239.36,137.36,1923.0,1.36,19.0,9.0,YDR
196,89.08,89.08,393.0,228.0,2964.0,2.15,28.0,8.62,YDR
197,97.86,97.86,169.29,143.29,1003.0,1.29,9.0,5.0,YDR
198,97.33,97.33,176.67,135.5,813.0,1.33,8.0,5.17,YDR
199,102.38,119.62,128.38,128.38,1669.0,1.23,16.0,13.23,YDR
200,113.44,142.22,262.78,236.89,2132.0,2.11,19.0,7.89,YDR
201,98.27,104.68,320.59,219.5,4829.0,2.18,48.0,14.73,YDR
202,95.25,95.25,186.75,144.75,579.0,1.5,6.0,3.0,YDR
203,97.13,97.13,101.07,97.13,1457.0,1.0,15.0,18.53,YDR
204,102.25,111.0,217.25,150.0,1200.0,1.5,12.0,9.12,YDR
205,113.7,129.7,156.8,147.9,1479.0,1.3,13.0,8.3,YDR
206,115.1,122.15,168.5,143.8,2876.0,1.25,25.0,18.45,YDR
207,86.27,86.27,157.55,112.55,1238.0,1.27,14.0,9.27,YDR
208,117.86,117.86,195.57,139.0,973.0,1.14,8.0,7.71,YDR
209,94.29,94.29,204.86,94.29,660.0,1.0,7.0,6.71,YDR
210,82.92,82.92,217.0,183.33,2200.0,2.0,24.0,7.92,YDR
211,114.42,114.42,457.67,343.92,4127.0,3.08,37.0,7.5,YDR
212,103.5,113.71,135.93,127.71,1788.0,1.21,17.0,18.21,YDR
213,100.33,100.33,100.33,100.33,903.0,1.0,9.0,11.67,YDR
214,103.15,108.77,190.46,146.62,1906.0,1.54,20.0,8.38,YDR
215,100.75,100.75,138.5,124.25,497.0,1.25,5.0,7.25,YDR
216,99.0,99.0,153.5,153.5,614.0,1.25,5.0,6.25,YDR
217,101.11,101.11,258.0,139.44,1255.0,1.33,12.0,7.11,YDR
218,84.92,90.5,251.67,147.0,1764.0,1.75,21.0,13.83,YDR
219,83.33,83.33,107.33,83.33,250.0,1.0,3.0,5.67,YDR
220,134.0,134.0,174.67,134.0,402.0,1.0,3.0,4.67,YDR
221,108.29,108.29,162.29,108.29,758.0,1.0,7.0,9.29,YDR
222,106.22,115.11,121.44,115.11,1036.0,1.11,10.0,12.0,YDR
223,79.5,79.5,121.83,79.5,477.0,1.0,6.0,9.17,YDR
224,93.83,93.83,118.0,93.83,563.0,1.0,6.0,6.17,YDR
225,87.25,109.88,158.12,127.75,1022.0,1.25,10.0,11.75,YDR
226,74.71,74.71,189.71,109.71,768.0,1.14,8.0,8.14,YDR
227,97.0,97.0,97.0,97.0,194.0,1.0,2.0,4.5,YDR
228,93.12,103.62,156.12,103.62,829.0,1.12,9.0,10.38,YDR
229,107.4,107.4,152.8,107.4,537.0,1.0,5.0,5.2,YDR
230,92.33,92.33,92.33,92.33,277.0,1.0,3.0,4.33,YDR
231,126.0,126.0,145.67,126.0,378.0,1.0,3.0,2.0,YDR
232,112.14,112.14,247.71,146.86,1028.0,1.29,9.0,5.14,YDR
233,96.83,96.83,125.67,125.67,754.0,1.17,7.0,9.5,YDR
234,105.3,117.7,304.6,292.0,5840.0,2.7,54.0,13.75,YDR
235,91.1,101.0,169.6,125.2,1252.0,1.4,14.0,10.3,YDR
236,86.0,86.0,108.85,101.69,1322.0,1.08,14.0,12.54,YDR
237,84.5,84.5,105.93,101.29,1418.0,1.14,16.0,20.64,YDR
238,128.33,128.33,164.17,143.33,860.0,1.17,7.0,15.0,YDR
239,126.33,126.33,178.83,126.33,758.0,1.0,6.0,7.5,YDR
240,107.5,107.5,170.5,122.5,980.0,1.12,9.0,14.5,YDR
241,109.5,115.75,143.12,115.75,926.0,1.12,9.0,8.62,YDR
242,103.5,103.5,103.5,103.5,414.0,1.0,4.0,6.5,YDR
243,103.0,103.0,173.2,173.2,866.0,1.6,8.0,6.4,YDR
244,95.0,130.0,130.0,130.0,650.0,1.2,6.0,6.6,YDR
245,92.8,103.6,170.8,123.6,618.0,1.4,7.0,11.6,YDR
246,74.5,74.5,74.5,74.5,298.0,1.0,4.0,10.25,YDR
247,101.33,101.33,139.33,101.33,608.0,1.0,6.0,14.0,YDR
248,92.18,92.18,199.36,166.18,1828.0,1.64,18.0,13.27,YDR
249,107.76,107.76,122.71,107.76,1832.0,1.0,17.0,18.82,YDR
250,90.3,97.9,202.1,140.6,1406.0,1.5,15.0,9.5,YDR
251,100.92,108.25,404.58,215.83,2590.0,2.08,25.0,7.67,YDR
252,95.4,95.4,133.4,133.4,667.0,1.2,6.0,7.6,YDR
253,94.0,103.91,278.27,181.0,1991.0,1.73,19.0,9.27,YDR
254,100.67,121.57,162.67,147.14,3090.0,1.43,30.0,15.95,YDR
255,85.0,85.0,85.0,85.0,510.0,1.0,6.0,10.5,YDR
256,85.55,85.55,92.27,85.55,941.0,1.0,11.0,12.18,YDR
257,87.89,87.89,127.67,120.11,1081.0,1.11,10.0,7.33,YDR
258,100.56,100.56,283.89,165.0,1485.0,1.56,14.0,7.89,YDR
259,120.42,120.42,200.67,167.25,2007.0,1.42,17.0,8.08,YDR
260,93.0,125.12,198.38,198.38,1587.0,1.75,14.0,7.38,YDR
261,111.78,111.78,154.33,114.83,2067.0,1.06,19.0,16.94,YDR
262,84.82,84.82,114.91,106.64,1173.0,1.09,12.0,16.55,YDR
263,130.0,130.0,196.0,130.0,650.0,1.0,5.0,4.6,YDR
264,88.75,88.75,298.6,188.8,3776.0,2.05,41.0,13.6,YDR
265,90.71,90.71,209.07,131.0,1834.0,1.21,17.0,9.14,YDR
266,93.3,93.3,166.6,145.2,1452.0,1.4,14.0,6.7,YDR
267,103.0,103.0,232.5,174.0,348.0,1.5,3.0,2.0,YDR
268,95.0,95.0,132.2,132.2,661.0,1.2,6.0,8.2,YDR
269,85.17,85.17,85.17,85.17,511.0,1.0,6.0,9.83,YDR
270,103.2,103.2,131.6,103.2,516.0,1.0,5.0,5.2,YDR
271,85.67,85.67,85.67,85.67,514.0,1.0,6.0,9.17,YDR
272,103.89,103.89,142.22,116.44,1048.0,1.11,10.0,8.67,YDR
273,108.75,108.75,160.75,160.75,643.0,1.25,5.0,6.0,YDR
274,112.71,112.71,141.86,112.71,789.0,1.0,7.0,9.0,YDR
275,199.5,199.5,199.5,199.5,399.0,1.0,2.0,4.5,YDR
276,89.8,89.8,128.2,128.2,641.0,1.2,6.0,6.0,YDR
277,119.71,119.71,279.57,145.43,1018.0,1.29,9.0,8.71,YDR
278,104.08,104.08,226.46,172.54,2243.0,1.69,22.0,9.54,YDR
279,98.17,98.17,136.5,125.33,752.0,1.17,7.0,6.33,YDR
280,85.25,85.25,218.5,192.0,768.0,1.25,5.0,4.0,YDR
281,96.83,96.83,220.17,132.67,796.0,1.33,8.0,5.67,YDR
282,102.67,102.67,198.89,182.22,1640.0,1.67,15.0,8.33,YDR
283,107.14,107.14,254.95,121.0,2541.0,1.19,25.0,20.38,YDR
284,80.38,92.75,262.62,233.5,1868.0,2.0,16.0,6.38,YDR
285,204.5,358.0,358.0,358.0,716.0,2.0,4.0,5.0,YDR
286,91.91,100.83,239.35,170.04,3911.0,1.65,38.0,23.35,YDR
287,138.83,138.83,182.67,138.83,833.0,1.0,6.0,7.33,YDR
288,107.6,121.0,264.73,208.6,3129.0,1.87,28.0,15.8,YDR
289,102.86,102.86,102.86,102.86,720.0,1.0,7.0,9.14,YDR
290,80.71,80.71,143.71,119.0,833.0,1.29,9.0,7.86,YDR
291,91.56,91.56,109.0,91.56,824.0,1.0,9.0,7.33,YDR
292,93.0,93.0,93.0,93.0,372.0,1.0,4.0,10.5,YDR
293,107.25,107.25,107.25,107.25,429.0,1.0,4.0,6.0,YDR
294,91.0,91.0,91.0,91.0,546.0,1.0,6.0,10.5,YDR
295,90.0,90.0,99.86,90.0,630.0,1.0,7.0,6.14,YDR
296,91.17,91.17,91.17,91.17,547.0,1.0,6.0,6.83,YDR
297,124.56,124.56,241.67,184.33,1659.0,1.56,14.0,5.0,YDR
298,120.8,120.8,169.4,135.2,676.0,1.2,6.0,3.6,YDR
299,91.4,91.4,91.4,91.4,457.0,1.0,5.0,7.0,YDR
300,100.07,106.29,215.36,113.79,1593.0,1.14,16.0,15.86,YDR
301,102.8,102.8,164.0,126.8,634.0,1.2,6.0,11.2,YDR
302,90.57,90.57,90.57,90.57,634.0,1.0,7.0,7.43,YDR
303,108.38,108.38,117.12,108.38,867.0,1.0,8.0,8.62,YDR
304,78.57,78.57,156.71,117.71,824.0,1.29,9.0,11.86,YDR
305,96.33,96.33,122.17,122.17,733.0,1.17,7.0,6.5,YDR
306,110.25,110.25,173.5,110.25,882.0,1.0,8.0,14.12,YDR
307,100.6,100.6,149.2,127.8,639.0,1.4,7.0,15.4,YDR
308,108.56,108.56,196.78,126.89,1142.0,1.11,10.0,6.22,YDR
309,111.68,115.74,331.79,221.47,8416.0,1.84,70.0,27.05,YDR
310,103.82,103.82,142.91,103.82,1142.0,1.0,11.0,12.36,YDR
311,103.8,116.8,146.8,116.8,584.0,1.2,6.0,4.4,YDR
312,97.39,100.22,217.5,175.22,3154.0,1.83,33.0,10.72,YDR
313,98.0,98.0,129.2,98.0,490.0,1.0,5.0,4.8,YDR
314,125.38,143.62,176.38,143.62,1149.0,1.12,9.0,7.88,YDR
315,92.08,97.77,149.69,125.69,1634.0,1.38,18.0,13.85,YDR
316,107.95,112.95,261.24,139.48,2929.0,1.19,25.0,17.86,YDR
317,107.0,107.0,166.82,136.0,2312.0,1.18,20.0,15.94,YDR
318,107.71,118.14,220.29,143.14,2004.0,1.29,18.0,12.14,YDR
319,91.89,91.89,109.67,109.67,987.0,1.11,10.0,10.11,YDR
320,120.5,120.5,120.5,120.5,482.0,1.0,4.0,5.25,YDR
321,107.2,107.2,118.6,107.2,1072.0,1.0,10.0,11.8,YDR
322,105.9,105.9,135.2,105.9,1059.0,1.0,10.0,15.6,YDR
323,118.33,118.33,118.33,118.33,355.0,1.0,3.0,3.67,YDR
324,91.75,109.5,124.0,109.5,438.0,1.25,5.0,5.75,YDR
325,108.8,108.8,199.4,150.8,754.0,1.4,7.0,4.0,YDR
326,89.33,101.33,119.83,101.33,608.0,1.17,7.0,9.83,YDR
327,103.91,110.0,152.27,143.91,1583.0,1.36,15.0,11.09,YDR
328,92.12,92.12,92.12,92.12,737.0,1.0,8.0,13.62,YDR
329,131.38,141.62,241.38,164.75,1318.0,1.38,11.0,9.88,YDR
330,101.54,101.54,107.31,101.54,1320.0,1.0,13.0,12.77,YDR
331,84.75,84.75,84.75,84.75,678.0,1.0,8.0,12.12,YDR
332,107.17,107.17,229.83,132.83,797.0,1.17,7.0,5.5,YDR
333,87.17,87.17,111.83,111.83,671.0,1.17,7.0,10.5,YDR
334,82.8,82.8,109.6,97.2,486.0,1.2,6.0,8.0,YDR
335,78.25,78.25,78.25,78.25,313.0,1.0,4.0,5.5,YDR
336,101.67,101.67,126.33,110.11,991.0,1.11,10.0,12.89,YDR
337,82.25,94.0,138.5,104.0,832.0,1.25,10.0,6.25,YDR
338,95.38,95.38,114.5,114.5,916.0,1.12,9.0,9.5,YDR
339,105.5,141.67,293.33,233.5,2802.0,2.08,25.0,9.25,YDR
340,96.65,99.82,128.76,118.47,2014.0,1.24,21.0,16.94,YDR
341,90.0,96.67,162.67,162.67,1464.0,1.56,14.0,9.89,YDR
342,104.27,120.27,223.55,178.27,1961.0,1.64,18.0,8.55,YDR
343,107.42,111.92,195.33,161.08,1933.0,1.42,17.0,10.83,YDR
344,120.8,120.8,151.6,120.8,604.0,1.0,5.0,5.4,YDR
345,105.6,105.6,133.4,105.6,528.0,1.0,5.0,11.4,YDR
346,85.0,85.0,85.0,85.0,425.0,1.0,5.0,8.8,YDR
347,103.57,103.57,161.29,103.57,725.0,1.0,7.0,9.57,YDR
348,91.5,106.62,192.0,165.5,1324.0,1.75,14.0,6.38,YDR
0,117.09,129.39,240.78,210.61,4844.0,1.78,41.0,11.91,YFR
1,126.38,130.31,438.12,369.12,5906.0,2.81,45.0,8.38,YFR
2,121.9,134.5,250.3,231.1,2311.0,1.8,18.0,6.6,YFR
3,114.0,144.65,266.96,239.78,5515.0,1.91,44.0,12.96,YFR
4,108.19,118.69,229.06,204.0,3264.0,1.81,29.0,11.81,YFR
5,119.03,136.43,213.83,199.77,5993.0,1.6,48.0,19.27,YFR
6,103.0,118.68,215.79,193.84,3683.0,1.84,35.0,12.53,YFR
7,110.26,149.22,285.74,235.78,6366.0,2.15,58.0,15.96,YFR
8,97.45,103.27,238.64,188.64,2075.0,1.91,21.0,6.0,YFR
9,106.64,133.07,254.79,180.43,2526.0,1.64,23.0,10.21,YFR
10,129.0,146.53,271.03,217.75,6968.0,1.88,60.0,21.0,YFR
11,96.64,103.71,236.75,219.82,6155.0,2.07,58.0,14.96,YFR
12,93.0,100.12,290.25,201.5,1612.0,2.12,17.0,4.62,YFR
13,115.24,118.76,217.12,144.18,2451.0,1.35,23.0,9.29,YFR
14,111.36,146.24,209.32,192.12,4803.0,1.64,41.0,15.52,YFR
15,125.28,125.28,323.69,271.84,8699.0,2.34,75.0,16.56,YFR
16,118.17,132.33,183.0,150.17,901.0,1.33,8.0,5.17,YFR
17,90.9,99.42,163.77,147.58,4575.0,1.61,50.0,23.74,YFR
18,88.0,117.55,176.82,176.82,1945.0,1.82,20.0,9.73,YFR
19,86.2,99.6,209.5,197.5,1975.0,2.0,20.0,5.5,YFR
20,119.7,125.8,334.45,198.1,3962.0,1.75,35.0,10.85,YFR
21,104.75,108.44,108.44,108.44,1735.0,1.06,17.0,13.19,YFR
22,97.29,97.29,319.57,221.21,3097.0,2.14,30.0,7.14,YFR
23,95.55,95.55,195.55,176.27,1939.0,1.36,15.0,8.0,YFR
24,110.15,125.7,229.93,139.96,3779.0,1.26,34.0,16.37,YFR
25,106.42,125.92,165.25,149.67,1796.0,1.33,16.0,7.0,YFR
26,103.93,103.93,467.13,302.27,4534.0,1.93,29.0,7.07,YFR
27,105.21,131.14,209.29,193.29,2706.0,1.93,27.0,9.07,YFR
28,103.92,120.88,196.68,165.32,6613.0,1.6,64.0,25.75,YFR
29,112.07,117.21,236.5,207.5,2905.0,1.79,25.0,7.71,YFR
30,105.67,121.22,166.44,166.44,1498.0,1.33,12.0,7.67,YFR
31,99.82,106.8,221.98,163.0,7172.0,1.64,72.0,24.82,YFR
32,118.65,147.94,805.47,401.29,6822.0,3.0,51.0,8.76,YFR
33,128.78,131.17,557.87,293.52,6751.0,2.65,61.0,14.0,YFR
34,114.08,143.75,299.67,217.5,2610.0,1.75,21.0,6.92,YFR
35,106.2,243.6,338.2,243.6,1218.0,2.0,10.0,4.4,YFR
36,116.27,155.18,290.36,224.09,2465.0,1.64,18.0,7.18,YFR
37,101.1,120.0,259.3,241.0,2410.0,2.0,20.0,7.0,YFR
38,109.24,116.29,167.1,140.19,2944.0,1.33,28.0,14.0,YFR
39,122.14,133.57,453.57,352.0,2464.0,2.86,20.0,3.29,YFR
40,99.87,118.07,270.07,214.53,3218.0,1.8,27.0,8.87,YFR
41,124.62,141.1,312.33,275.62,5788.0,2.48,52.0,11.38,YFR
42,96.77,152.31,246.46,233.62,3037.0,1.77,23.0,6.85,YFR
43,159.6,159.6,216.2,159.6,798.0,1.0,5.0,3.8,YFR
44,93.05,97.43,239.24,198.0,4158.0,2.05,43.0,10.81,YFR
45,111.4,160.1,250.1,215.65,4313.0,2.0,40.0,10.7,YFR
46,116.5,123.21,151.93,139.79,1957.0,1.21,17.0,9.07,YFR
47,115.39,138.48,234.61,221.7,5099.0,2.0,46.0,13.78,YFR
48,118.25,123.25,219.0,206.0,3296.0,1.69,27.0,9.19,YFR
49,111.83,120.83,457.83,296.04,6809.0,2.35,54.0,11.96,YFR
50,95.48,95.48,275.44,230.78,6231.0,2.19,59.0,13.0,YFR
51,121.12,121.12,393.31,338.69,5419.0,2.5,40.0,8.69,YFR
52,95.2,140.2,511.8,316.5,3165.0,2.3,23.0,6.9,YFR
53,124.14,138.14,226.29,214.86,1504.0,1.71,12.0,5.71,YFR
54,94.92,108.08,239.4,191.88,4797.0,1.72,43.0,13.92,YFR
55,102.59,120.94,246.28,198.53,6353.0,1.81,58.0,23.59,YFR
56,112.38,172.5,401.69,336.38,5382.0,2.5,40.0,13.62,YFR
57,107.92,124.0,164.92,142.08,1705.0,1.33,16.0,6.67,YFR
58,72.0,72.0,72.0,72.0,72.0,1.0,1.0,9.0,YFR
59,94.67,94.67,344.0,308.33,925.0,2.33,7.0,4.67,YFR
60,117.12,152.5,497.5,434.5,3476.0,3.5,28.0,12.5,YFR
61,77.36,103.55,224.73,140.09,1541.0,1.55,17.0,14.0,YFR
62,133.0,158.14,284.0,184.57,1292.0,1.57,11.0,3.43,YFR
63,122.14,169.71,521.57,382.14,2675.0,3.0,21.0,8.57,YFR
64,118.88,137.12,549.0,535.5,4284.0,3.88,31.0,3.5,YFR
65,105.31,114.62,202.15,192.62,2504.0,1.77,23.0,7.54,YFR
66,126.44,126.44,153.67,126.44,1138.0,1.0,9.0,5.0,YFR
67,112.08,112.08,180.67,160.92,1931.0,1.42,17.0,8.25,YFR
68,131.0,181.75,269.0,181.75,727.0,1.25,5.0,2.5,YFR
69,107.95,118.0,281.9,226.85,4537.0,1.95,39.0,14.1,YFR
70,119.36,163.79,284.93,261.29,3658.0,1.71,24.0,13.21,YFR
71,137.14,137.14,247.29,178.14,1247.0,1.43,10.0,3.71,YFR
72,109.62,114.77,208.15,154.69,2011.0,1.46,19.0,6.54,YFR
73,114.6,125.9,214.8,162.4,1624.0,1.3,13.0,5.6,YFR
74,96.0,153.81,175.06,175.06,2801.0,1.5,24.0,10.75,YFR
75,175.5,210.12,1090.88,984.38,7875.0,6.0,48.0,3.5,YFR
76,101.78,164.89,214.33,214.33,1929.0,2.11,19.0,5.89,YFR
77,153.57,153.57,577.71,535.14,3746.0,3.86,27.0,3.0,YFR
78,123.71,135.57,161.93,150.29,2104.0,1.36,19.0,10.86,YFR
79,115.0,141.0,421.0,362.25,1449.0,3.0,12.0,1.5,YFR
80,106.88,125.06,299.81,276.19,4419.0,2.56,41.0,9.12,YFR
81,109.47,109.47,607.53,316.53,4748.0,3.07,46.0,9.93,YFR
82,106.4,123.6,317.8,263.5,2635.0,1.9,19.0,6.0,YFR
83,104.0,132.05,240.53,225.05,4276.0,2.16,41.0,10.47,YFR
84,107.39,112.67,129.28,112.67,2028.0,1.06,19.0,11.67,YFR
85,128.6,128.6,278.0,237.2,1186.0,1.8,9.0,3.2,YFR
86,114.5,124.12,190.25,190.25,1522.0,1.62,13.0,6.62,YFR
87,109.17,115.17,251.42,228.67,2744.0,1.83,22.0,9.42,YFR
88,80.5,86.7,232.1,204.1,2041.0,2.2,22.0,12.8,YFR
89,128.39,131.7,362.96,315.87,7265.0,2.26,52.0,13.0,YFR
90,91.07,101.36,142.86,132.43,1854.0,1.36,19.0,9.57,YFR
91,103.31,109.5,218.12,182.58,4747.0,1.81,47.0,14.92,YFR
92,93.2,105.7,152.7,138.5,1385.0,1.4,14.0,7.1,YFR
93,144.77,209.31,231.31,222.62,2894.0,1.38,18.0,11.31,YFR
94,128.64,139.43,301.93,173.0,2422.0,1.5,21.0,8.43,YFR
95,125.64,125.64,217.79,195.86,2742.0,1.57,22.0,6.93,YFR
96,110.09,115.73,207.09,175.27,1928.0,1.64,18.0,7.36,YFR
97,142.4,148.5,508.7,429.2,4292.0,2.0,20.0,5.5,YFR
98,116.67,144.92,274.75,257.5,3090.0,2.33,28.0,7.92,YFR
99,112.12,124.88,242.38,184.25,2948.0,1.69,27.0,9.5,YFR
100,114.7,131.3,483.0,339.4,3394.0,3.0,30.0,6.1,YFR
101,156.11,156.11,229.33,178.22,1604.0,1.22,11.0,5.11,YFR
102,117.38,126.85,315.0,294.58,7659.0,2.58,67.0,14.42,YFR
103,104.17,104.17,260.75,190.67,2288.0,1.83,22.0,6.92,YFR
104,105.25,105.25,240.62,211.94,3391.0,1.81,29.0,9.19,YFR
105,161.25,167.5,319.67,312.92,3755.0,2.33,28.0,5.5,YFR
106,117.06,125.19,241.81,178.12,2850.0,1.38,22.0,7.5,YFR
107,99.33,112.92,188.5,175.83,2110.0,1.67,20.0,6.42,YFR
108,97.17,130.83,366.33,237.5,1425.0,1.83,11.0,2.5,YFR
109,113.0,126.83,197.58,185.42,2225.0,1.58,19.0,6.58,YFR
110,107.42,122.58,234.58,224.17,2690.0,2.0,24.0,5.58,YFR
111,112.8,121.8,260.1,176.9,1769.0,1.6,16.0,4.7,YFR
112,99.23,107.46,540.85,405.23,5268.0,3.54,46.0,6.31,YFR
