sentence_id	sentence
319	In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.
320	However, the U.S. Navy accepted him in September of that year.
321	He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.
322	George David Birkhoff (21 March 1884 - 12 November 1944) was an American mathematician, and one of the most important leaders in mathematics in the USA in his generation.
323	He was born in Overisel, Michigan.
324	In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.
325	The mathematician Garrett Birkhoff (1911-1996) was his son.
326	Webster English Young (December 3, 1932 - December 13, 2003) was an American jazz trumpeter and cornetist.
327	He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.
328	He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.
329	"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida."
330	He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.
331	After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.
332	Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.
333	He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.
334	Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.
335	[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.
336	The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.
337	Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.
338	He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.
339	At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.
340	Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.
341	He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.
342	"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle."
343	In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.
344	When Bush was six years old, the family moved to Houston, Texas.
345	Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.
346	When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.
347	While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.
348	Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.
